question,answer
현대 물리학에 관한 책 뭐가 좋아?,스티븐 호킹의 블랙홀
지구 온난화에 관한 책 뭐가 좋아?,기후 변화의 진실
환경 정책에 관한 책 추천해줄래?,지구를 부탁해
한국 전통 민속민속축제에 관한 책 추천해줘,한국의 민속과 축제
한국 전통 민담에 대한 책 뭐가 좋을까?,한국의 민담
심리 상담에 대한 책 추천해줘,심리치료의 기술
고대 메소포타미아에 관한 책 추천해줄래?,The Epic of Gilgamesh
한국 전통 민속소설에 관한 책 추천해줄래?,한국고전소설 연구의 방법적 지평
한국 사회에 관한 책 추천해줄래?,한국사회론
고대 아즈텍 문명에 대한 책 추천해줘,The Broken Spears: The Aztec Account of the Conquest of Mexico
고대 이집트에 관한 책 추천해줄래?,The Complete Temples of Ancient Egypt
아시아 문화에 관한 책 뭐가 좋아?,Asia: A Concise History
로봇 공학에 관한 책 뭐가 좋을까?,Introduction to Robotics: Mechanics and Control
심리학 역사에 대한 책 추천해줘,The Story of Psychology
디지털 마케팅에 대한 책 뭐가 좋을까?,Digital Marketing for Dummies
고대 이집트 역사에 관한 책 뭐가 좋을까?,The Rise and Fall of Ancient Egypt
고대 이집트 역사에 대한 책 추천해줄래?,The Rise and Fall of Ancient Egypt
심리학 개론에 대한 책 추천해줘,Psychology: A Very Short Introduction
한국 패션에 대한 책 뭐가 좋아?,The Birth of Korean Cool
서유럽 역사에 관한 책 추천해줄래?,A History of Western Europe
고전 예술에 관한 책 뭐가 좋을까?,The Story of Art
세계 경제에 관한 책 추천해줄래?,세계는 평평하다
신경과학에 대한 책 추천해줘,The Tell-Tale Brain
고대 동남아시아 문명에 관한 책 추천해줘,Southeast Asia: From Prehistory to History
미디어 역사에 대한 책 추천해줘,The Medium is the Massage
고전 음악에 관한 책 추천해줄래?,The Classical Music Book
사회 변화에 관한 책 추천해줄래?,사회의 미래
독일 역사에 대한 책 추천해줄래?,Germany: A History
현대 인공지능에 관한 책 뭐가 좋을까?,Artificial Intelligence: A Guide to Intelligent Systems
고대 로마 역사에 관한 책 뭐가 좋아?,The History of the Decline and Fall of the Roman Empire
의료 윤리에 관한 책 뭐가 좋을까?,의료윤리
고대 중국에 대한 책 뭐가 좋아?,The Early Chinese Empires: Qin and Han
생태학에 대한 책 뭐가 좋아?,Ecology: The Economy of Nature
환경 정책에 대한 책 추천해줘,실내식물
고대 중국 철학에 관한 책 뭐가 좋을까?,도덕경
한국 전통 건축에 관한 책 추천해줄래?,한국의 전통가옥
음악 분석에 대한 책 뭐가 좋을까?,Tonal Harmony
블록체인 기술에 대한 책 뭐가 좋을까?,블록체인 혁명
한국 전통 민속민속의례에 대한 책 뭐가 좋아?,한국의 민속과 풍속
화학 실험에 관한 책 뭐가 좋아?,The Golden Book of Chemistry Experiments
고대 그리스 문화에 대한 책 뭐가 좋아?,The Greeks: An Introduction to Their Culture
경제학에 대한 책 추천해줄래?,경제학 살롱
고전 철학에 대한 책 뭐가 좋아?,국가
한국 전통 의상에 관한 책 추천해줘,조선시대 우리옷 한복 이야기
기계 학습 알고리즘에 대한 책 뭐가 좋을까?,모두의 딥러닝
고전 철학사에 관한 책 뭐가 좋을까?,A History of Western Philosophy
고대 동아시아에 관한 책 뭐가 좋을까?,손자병법
음악사에 관한 책 뭐가 좋을까?,음악의 역사
고대 철학에 대한 책 추천해줘,The History of Western Philosophy
양자 물리학 이론에 대한 책 뭐가 좋을까?,QED: The Strange Theory of Light and Matter
고대 로마 문화에 대한 책 뭐가 좋아?,SPQR: A History of Ancient Rome
고대 서아시아 문명에 관한 책 추천해줘,The Epic of Gilgamesh
현대 심리학에 관한 책 추천해줘,"Thinking, Fast and Slow"
현대 영화 이론에 대한 책 추천해줄래?,영화 이론: 현대의 이론과 실제
고대 아프리카 문명에 관한 책 뭐가 좋을까?,The Lost Cities of Africa
사회 심리학에 대한 책 추천해줘,사회적 동물
